i_id;ccode;cexch_name;cdept_id;cperson_id;ccus_id;csup_id;citem_class;citem_id;iperiod;cbegind_c;cbegind_c_engl;mb;md;mc;cendd_c;cendd_c_engl;me;mb_f;md_f;mc_f;me_f;nb_s;nd_s;nc_s;ne_s
26;40010106       ;        ;00605       ;        ;                    ;            ;  ;                    ;2;贷 ;Cr;50300.0;0.0;0.0;贷 ;Cr;50300.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
27;40010106       ;        ;00605       ;        ;                    ;            ;  ;                    ;3;贷 ;Cr;50300.0;0.0;51100.0;贷 ;Cr;101400.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0
28;40010106       ;        ;00605       ;        ;                    ;            ;  ;                    ;4;贷 ;Cr;101400.0;0.0;0.0;贷 ;Cr;101400.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
29;40010106       ;        ;00605       ;        ;                    ;            ;  ;                    ;5;贷 ;Cr;101400.0;0.0;0.0;贷 ;Cr;101400.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30;40010106       ;        ;00605       ;        ;                    ;            ;  ;                    ;6;贷 ;Cr;101400.0;0.0;0.0;贷 ;Cr;101400.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
31;40010106       ;        ;00605       ;        ;                    ;            ;  ;                    ;7;贷 ;Cr;101400.0;0.0;0.0;贷 ;Cr;101400.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
32;40010106       ;        ;00605       ;        ;                    ;            ;  ;                    ;8;贷 ;Cr;101400.0;0.0;0.0;贷 ;Cr;101400.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
33;40010106       ;        ;00605       ;        ;                    ;            ;  ;                    ;9;贷 ;Cr;101400.0;0.0;0.0;贷 ;Cr;101400.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
34;40010106       ;        ;00605       ;        ;                    ;            ;  ;                    ;10;贷 ;Cr;101400.0;0.0;0.0;贷 ;Cr;101400.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
35;40010106       ;        ;00605       ;        ;                    ;            ;  ;                    ;11;贷 ;Cr;101400.0;0.0;0.0;贷 ;Cr;101400.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
